Area,Perimeter,Aspect_Ratio,Circularity,Compactness,Density,Mean_Spacing,Uniformity,Image_Name
54123.45,11797.289386858209,1.025627853272206,0.008932661821536274,214.08605252702637,0.8325648716517857,135.9184151928961,0.4962123319794475,114.png
60729.31428571429,6648.802120042766,1.0105844696247228,0.02069375535975107,60.94742179134385,0.9268824986049107,128.60346045327404,0.5018712213510816,121.png
47422.52142857143,13649.81477481787,1.0661099831380372,0.013387553741470914,315.7129021431059,0.7513987949916294,139.4527964558691,0.48690566811022296,074.png
56944.7,9355.861055060186,1.019492096692569,0.009268249888896579,127.4223324175367,0.869508797781808,134.94905401519011,0.49845400428509096,065.png
57790.614285714284,9978.029874738691,1.012491312417413,0.00759880219352426,139.3094793998285,0.8821382795061384,137.49879728695794,0.4924539574284702,082.png
56647.47142857143,10890.49019623896,1.0132641608951476,0.0062908341346282586,169.36585719542748,0.864778573172433,139.76753078936716,0.4911653408974125,084.png
45629.2,14447.637837797987,1.0688411645769262,0.013282069749509021,366.3327062043139,0.7337881905691964,138.93845260378367,0.48774659066407916,040.png
58706.9,9102.8194475744,1.0138690224214542,0.009907603981015213,116.51545856767072,0.8960863385881697,129.660772789548,0.5049174613264891,133.png
55271.02857142857,10140.431526101282,1.0309989517369467,0.009562048380169044,153.60215743660603,0.8501774379185267,132.25474276160983,0.5069204380341463,067.png
46680.80714285714,11274.935800502119,1.1412527729602948,0.01866627693869342,221.49521137996175,0.7613597324916295,137.45527998431263,0.48987594341773744,026.png
45911.75238095238,13438.01344274095,1.087975878569089,0.017599899891492816,315.6685544770154,0.7448726109095982,137.8191063555127,0.48643585372117765,075.png
51249.65714285714,12879.302511003467,1.0264421875019107,0.005866691336374657,259.67277595853466,0.7886877877371652,137.55125835955684,0.48574304883661096,109.png
43208.55952380952,11523.727611081566,1.1516343934694386,0.023085607583848942,247.8954826554115,0.7217324393136161,135.95178360229295,0.48915841951392847,022.png
59140.892857142855,7029.072834384437,1.017933174650986,0.022650538856432582,72.28040417529134,0.9091866629464286,131.09840682353448,0.4987058759798608,136.png
60838.78571428572,6691.279209793289,1.0093693065702833,0.018005657590291962,59.65301617155518,0.9285132271902902,126.97322187318116,0.47683917319185704,148.png
56925.95714285714,8464.892675544786,1.020233592724699,0.011003810489298462,103.83975625311807,0.8692184448242187,133.87367699673646,0.5028021242140298,063.png
54272.15714285714,10797.24876510283,1.0414006528466226,0.008712686119359124,176.25946821930754,0.842476327078683,135.61609445393321,0.5045036374964652,051.png
58467.614285714284,9225.031389413502,1.0108411116230005,0.009550318978351962,119.52374260699108,0.8924678257533483,135.48230386801072,0.4811005688352924,081.png
