Model,Version,Tag,Step,Value,Wall Time
fpn_resnet34,version_0,test_loss_epoch,47300,0.2784724831581116,1737132854.1122222
fpn_resnet34,version_0,test_per_image_iou,47300,0.5832965970039368,1737132854.1122384
fpn_resnet34,version_0,test_dataset_iou,47300,0.5446727275848389,1737132854.1122444
fpn_resnet34,version_0,test_accuracy,47300,0.8626515865325928,1737132854.1122484
fpn_resnet34,version_0,test_inaccuracy,47300,0.13734836876392365,1737132854.1122518
fpn_resnet34,version_0,test_precision,47300,0.6143131852149963,1737132854.1122553
fpn_resnet34,version_0,test_sensitivity,47300,0.9603778719902039,1737132854.1122582
unetplusplus_resnet34,version_0,test_loss_epoch,47300,0.2617866098880768,1737120045.3070288
unetplusplus_resnet34,version_0,test_per_image_iou,47300,0.6112979054450989,1737120045.3070405
unetplusplus_resnet34,version_0,test_dataset_iou,47300,0.5633831024169922,1737120045.3070462
unetplusplus_resnet34,version_0,test_accuracy,47300,0.8712811470031738,1737120045.3070507
unetplusplus_resnet34,version_0,test_inaccuracy,47300,0.12871883809566498,1737120045.3070548
unetplusplus_resnet34,version_0,test_precision,47300,0.6337437629699707,1737120045.307058
unetplusplus_resnet34,version_0,test_sensitivity,47300,0.9701765179634094,1737120045.3070617
segformer_resnet34,version_0,test_loss_epoch,47300,0.2782266438007355,1737252740.357492
segformer_resnet34,version_0,test_per_image_iou,47300,0.5836808085441589,1737252740.3575046
segformer_resnet34,version_0,test_dataset_iou,47300,0.5441839694976807,1737252740.3575094
segformer_resnet34,version_0,test_accuracy,47300,0.8632071018218994,1737252740.357513
segformer_resnet34,version_0,test_inaccuracy,47300,0.1367928683757782,1737252740.3575163
segformer_resnet34,version_0,test_precision,47300,0.6202712059020996,1737252740.3575199
segformer_resnet34,version_0,test_sensitivity,47300,0.9549561738967896,1737252740.3575232
deeplabv3plus_resnet34,version_0,test_loss_epoch,47300,0.281909316778183,1737291438.0888162
